"id","name","brand"
"8090001","ESSO CLIRON","Esso Express"
"79180005","CARREFOUR CONTACT CHAURAY","Carrefour Contact"
"10300005","RELAIS SAINTE SAVINE","Total Access"
"9500002","SARL RELAIS SAINT CHRISTOPHE KAPFER","Indépendant sans enseigne"
"17350006","AGIP FENIOUX OUEST A10","Agip"
"10300002","ESSO STE SAVINE","Esso Express"
"35000021","RELAIS RENNES ALMA","Total Access"
"11000015","RELAIS DU VIGUIER","Total Access"
"2100008","ESSO FAIDHERBE","Esso Express"
"10150001","ESSO DU STADE PSM","Esso Express"
"11100003","DYNEFF Narbonne","Dyneff"
"38100015","STATION SERVICE ENI","Agip"
"69780001","CASINO SUPERMARCHE","Casino"
"79800012","Carrefour Contact","Carrefour Contact"
"33170009","AGIP GRADIGNAN","Agip"
"62100027","RELAIS DES PIERRETTES","Total"
"26000015","RELAIS PETIT ROUSSET","Total Access"
"1440003","AVIA","Avia"
"78114001","INTERMARCHE","Intermarché"
"65100009","RELAIS DU JER","Total Access"
"56430002","GGE BRIAND SARL","Total"
"69004016","ENI LYON BLD CANUTS","Agip"
"11370001","Carrefour Contact","Carrefour Contact"
"83147001","Me BOREL Genevieve","Total"
"4200003","INTERMARCHE PEIPIN","Intermarché"
"1390009","A46 AIRE DE MIONNAY EST- SENS SUD NORD","Agip"
"94430003","CARREFOUR ORMESSON","Carrefour"
"66660002","SAS PVL INTERMARCHE","Intermarché"
"6211001","GEANT CASINO","Géant"
"67100009","AGIP STRASBOURG ALTENHEIM","Agip"
"69190010","BP ST FONS P. HERRIOT","BP"
"77164001","CASINO SUPERMARCHE","Casino"
"33600009","RELAIS HAUT LEVEQUE","Total"
"24230002","Carrefour contact","Carrefour Contact"
"73000001","CARREFOUR BASSENS","Carrefour"
"53600001","Super U EVRON","Système U"
"46220003","INTERMARCHE PRAYSSAC","Intermarché"
"1700003","ESSO LES ECHETS","Esso Express"
"11100002","DYNEFF Carnot","Dyneff"
"1590001","GARAGE CLAUDE SARL","Avia"
"7300006","RELAIS DES LUETTES","Total"
"11300003","ESSO LIMOUX","Esso Express"
"6700005","BOCCANERA","Indépendant sans enseigne"
"1470001","STATION SERVICE AVIA","Avia"
"8170003","Station de l&#039,ardoisière","Total"
"72260001","U Express  MAROLLES LES BRAULTS","Système U"
"68000020","AGIP COLMAR ROUTE D&#039,INGERSHEIM","Agip"
"69140007","LM Service auto","Total"
"13200014","RELAIS CANTARELLES","Total"
"2460001","S.A. DIXY","Indépendant sans enseigne"
"45310001","INTERMARCHE PATAY","Intermarché"
"19250005","CASINO CARBURANT","Casino"
"20230003","SARL RELAIS DE TAVAGNA","VITO"
"95100037","RELAIS ARGENTEUIL DU VAL","Total Access"
"12200001","SARL PORTAL J-P.","Total"
"4160004","RELAIS LE BELVEDERE","Total Access"
"1430005","RELAIS DE CEIGNES CERDON","Total"
"13800001","GEANT CASINO","Géant"
"68970001","Beysang","Indépendant sans enseigne"
"34200013","RELAIS DU TRIOLET","Total Access"
"17130004","INTERMARCHE MONTENDRE","Intermarché"
"20090011","U-STRETTU NORD","VITO"
"6360001","SARL RELAIS D&#039,EZE","Avia"
"31560002","CARREFOUR CONTACT NAILLOUX","Carrefour Contact"
"16000008","RELAIS ANGOULEME SILLAC STAR","Total Access"
"6320006","RELAIS CAP D&#039,AIL BASSE CORNICHE","Total"
"1100007","RELAIS DES CRETETS","Total"
"6600008","ESSO DU CAP","Esso Express"
"48000005","RELAIS MENDE LES CAUSSES","Total Access"
"11590003","Supermarché Casino Sallèles d&#039,Aude","Super Casino"
"31480002","U EXPRESS","Système U"
"6400004","ESSO CALIFORNIE","Esso Express"
"13990002","LE LUTIN DES ALPILLES","Avia"
"54000010","RELAIS DES TROIS MAISONS","Total"
"71470003","Carrefour contact romenay","Carrefour Contact"
"33320004","Carrefour Market","Carrefour Market"
"13730001","HYPER CASINO St VICTORET","Casino"
"71700001","Carrefour Market","Carrefour Market"
"57150005","SA VENARGE","Intermarché"
"6520001","ESSO MAGAGNOSC","Esso Express"
"11100008","ESSO CROIX SUD EST","Esso Express"
"31150002","SUPER U","Système U"
"87100010","RELAIS BEL AIR","Total"
"2000007","ESSO CARNOT LAON","Esso Express"
"57800003","SARL GARAGE MAHOU","Total"
"11200002","DYNEFF Lézignan-Corbières","Dyneff"
"11170001","DYNEFF Pezens","Dyneff"
"54150001","SARL CATALANO","Total"
"91000008","Relais TOTAL des Epinettes","Total Access"
"81000002","RELAIS DES FONTANELLES","Total"
"93250009","BP VILLEMONBLE Carrefour express","BP"
"66680001","INTERMARCHE CANOHES","Intermarché"
"47400004","RELAIS DU STADE","Total Access"
"3250002","INTERMARCHE LE MAYET DE MONTAGNE","Intermarché"
"66000012","PETROR","Indépendant sans enseigne"
"24580001","SARL SOBGAR CARREFOUR CONTACT","Carrefour Contact"
"2500004","RELAIS HIRSON DE GAULLE","Total Access"
"13600022","BP AIRE DU LIOUQUET SUD","BP"
"8000005","ESSO RIMBAUD","Esso Express"
"2200007","ESSO SOISSONS","Esso Express"
"1230003","STATION ELAN GARAGE BOLLEY","Elan"
"65600001","RELAIS SAINT FRAI","Total"
"43340001","STATION J.V.F",""
"40000002","CARREFOUR","Carrefour"
"84170001","SARL ETS CRISTOFOL","Avia"
"93400011","RELAIS ECU DE FRANCE","Total"
"3800004","Relais Lagarde Gannat MENDES FRANCE","Total"
"31470002","Eric Cadek","Total"
"3500005","DATS ST POURCAIN SUR SIOULE","Colruyt"
"29000001","GEANT CASINO","Géant"
"78700011","BP CONFLANS STE HONORINE RN184 (dir eragny)","BP"
"4330004","SAS DOREL","Avia"
"4260002","Le relais de Rochecline","Indépendant sans enseigne"
"2190003","SARL MARCHAND","Avia"
"6670011","ENI COLOMARS","Agip"
"13400003","SARL STATION ET SCES CAMP","Indépendant sans enseigne"
"4170002","SARL GARAGE STATION CHABOT","Total"
"42210003","STATION MICHALON PRODUITS PETROLIERS","Indépendant sans enseigne"
"91100019","ESSO EXPRESS CORBEIL","Esso"
"33400004","CASINO SUPERMARCHE","Casino"
"31790004","CARREFOUR CONTACT","Carrefour Contact"
"69360011","RELAIS SOLAIZE","Total"
"13740002","CASINO SUPERMARCHE","Casino"
"38670001","GEANT CASINO","Géant"
"50450001","U Express","Système U"
"54150004","CME","Total"
"84976001","AUZON VENTOUX","Leclerc"
"84260001","INTERMARCHE SARRIANS","Intermarché"
"13550001","STATION TOTAL M. HACHIMI PATRICK","Total"
"4500001","SARL FLORENZANO Station AVIA","Avia"
"24100007","Carrefour Market","Carrefour Market"
"1250002","BP A40 AIRE DE BOURG TEYSONGUE","BP"
"5000010","ESSO FONT REYNE","Esso Express"
